date,i,symbol,Open,High,Low,Adj Close,Volume,Open Interest,option_type,strike,expiry,nifty,niftyHigh,niftyLow,signal,ATR,renko_uptrend,renko_brick_num,renko_brick_diff,unique_brick_id,renko_brick_volume,renko_brick_volume_osc,renko_static_candles,renko_brick_high,renko_brick_low,trade_price,limit1,limit2,sl1,sl2,bnh_returns,cum_bnh_returns,bnh_ln_returns,cum_bnh_ln_returns,position,position_change,strategy_returns,cum_strategy_returns,strategy_ln_returns,cum_strategy_ln_returns,trade_num,return,cum_return,sum_return,prev_peak_cum_return,drawdown_from_prev_peak,prev_peak_sum_return,drawdown_from_prev_peak_sum
2022-05-02 10:53:00+05:30,99,NIFTYWEEKLYOPTIONCall,269.73,269.75,261.1,261.4,13250.0,425700,CE,16800,2022-05-05,16983.65,16994.95,16983.65,,8.709275725628519,False,-1.0,0.0,2022-05-02 10:53:00+05:30-1.0,30750.0,0.1523328429459273,0.0,280.0,270.0,,,,-264.1,,-0.02661921180439697,0.03980198019802117,-0.0026657796526445856,0.06601020994937759,0.0,-1.0,-0.0,-0.13485870851129667,-0.0,0.032699801290673125,11.0,-0.0,-0.13181330694525673,-0.13711667251526666,-0.056640625,-0.07517268194525673,-0.056640625,-0.08047604751526666
2022-05-02 10:55:00+05:30,101,NIFTYWEEKLYOPTIONCall,262.55,262.05,256.8,259.45,16350.0,425700,CE,16800,2022-05-05,16977.4,16981.95,16976.5,,8.642735734309294,False,-2.0,-1.0,2022-05-02 10:55:00+05:30-2.0,55800.0,0.27642837841895096,0.0,270.0,260.0,,222.0,,269.45,,-0.008950676061702634,0.030495049504951854,0.0,0.03903029136845468,-1.0,-1.0,0.008950676061702634,-0.12711510906357826,-0.0,0.032699801290673125,12.0,0.03026337840411372,-0.10553904452792484,-0.10685329411115294,-0.056640625,-0.04889841952792484,-0.056640625,-0.050212669111152936
2022-05-02 11:03:00+05:30,109,NIFTYWEEKLYOPTIONCall,254.60434999999995,256.0,250.4,251.5,15200.0,403100,CE,16800,2022-05-05,16971.7,16977.2,16969.1,,8.457917177376482,False,-3.0,0.0,2022-05-02 10:59:00+05:30-3.0,652050.0,3.230199357492419,3.0,260.0,250.0,,-264.0,,,,-0.0066941118641529185,0.0015841584158429178,0.04110914788569352,0.008299522886443644,0.0,1.0,-0.0,-0.11118270246905548,0.0,0.10453971765837766,13.0,0.0,-0.10553904452792484,-0.10685329411115294,-0.056640625,-0.04889841952792484,-0.056640625,-0.050212669111152936
2022-05-02 11:12:00+05:30,118,NIFTYWEEKLYOPTIONCall,264.0,263.65,253.55,259.25,27900.0,406850,CE,16800,2022-05-05,16982.9,16989.45,16978.0,,8.176064657935814,False,-3.0,0.0,2022-05-02 10:59:00+05:30-3.0,652050.0,3.230199357492419,12.0,260.0,250.0,,236.0,,269.25,,-0.018939393939393923,0.025742574257427098,0.01142869582362285,0.044537854430902496,-1.0,-1.0,0.018939393939393923,-0.09434904153096935,-0.01142869582362285,0.09311102183475481,14.0,-0.02374999999999993,-0.12678249222038662,-0.13060329411115287,-0.056640625,-0.07014186722038662,-0.056640625,-0.07396266911115287
2022-05-02 11:35:00+05:30,141,NIFTYWEEKLYOPTIONCall,270.27,275.35,266.0,271.05,27500.0,424550,CE,16800,2022-05-05,17002.6,17007.3,16996.75,,7.591377979209811,True,1.0,0.0,2022-05-02 11:35:00+05:301.0,438900.0,2.174272675413577,0.0,270.0,260.0,,,,275.9,,0.0028860028860029363,0.07346534653465464,0.014234850588666963,0.06801021061604434,0.0,1.0,0.0,-0.1365614874496216,0.0,0.08387351623827993,15.0,0.0,-0.12678249222038662,-0.13060329411115287,-0.056640625,-0.07014186722038662,-0.056640625,-0.07396266911115287
2022-05-02 12:01:00+05:30,167,NIFTYWEEKLYOPTIONCall,276.17589999999996,274.3,268.65,273.0,6750.0,389200,CE,16800,2022-05-05,17007.1,17011.35,17004.75,,7.273407982919842,True,1.0,0.0,2022-05-02 11:35:00+05:301.0,438900.0,2.174272675413577,25.0,270.0,260.0,,-294.0,,-263.0,,-0.011680599212313458,0.0809900990099015,0.015052108624389281,0.08962673284090956,1.0,1.0,-0.011680599212313458,-0.14664696665919863,0.015052108624389281,0.09892562486266922,16.0,0.06453894058098497,-0.07042595937152252,-0.0660643535301679,-0.056640625,-0.013785334371522517,-0.056640625,-0.009423728530167902
2022-05-02 12:28:00+05:30,194,NIFTYWEEKLYOPTIONCall,294.0,298.35,293.2,296.9,15050.0,363850,CE,16800,2022-05-05,17038.75,17039.05,17033.5,,7.047356765626081,True,3.0,0.0,2022-05-02 12:27:00+05:303.0,304200.0,1.5069805146065391,0.0,290.0,280.0,,276.0,,,,0.0156462585034014,0.18257425742574296,0.011287959773851355,0.1521685186232674,0.0,-1.0,0.0,-0.08083608059279879,0.0,0.1501794508711757,17.0,-0.0,-0.07042595937152252,-0.0660643535301679,-0.056640625,-0.013785334371522517,-0.056640625,-0.009423728530167902
2022-05-02 12:48:00+05:30,214,NIFTYWEEKLYOPTIONCall,276.0,268.5,252.1,252.1,78500.0,322750,CE,16800,2022-05-05,16985.5,17004.5,16985.5,-1.0,7.206578266466089,False,-2.0,0.0,2022-05-02 12:48:00+05:30-2.0,250100.0,1.238973789293542,0.0,270.0,260.0,,,,,,-0.08442028985507255,0.000792079207921681,-0.04047410792777445,0.0889896170017361,1.0,1.0,-0.08442028985507255,-0.15843216509347924,-0.04047410792777445,0.10970534294340126,18.0,-0.08442028985507251,-0.14890086932312963,-0.15048464338524042,-0.056640625,-0.09226024432312963,-0.056640625,-0.09384401838524042
2022-05-02 12:49:00+05:30,215,NIFTYWEEKLYOPTIONCall,252.7,267.45,252.7,258.2,37400.0,322750,CE,16800,2022-05-05,16986.3,16998.6,16983.85,,7.298211462133888,False,-2.0,0.0,2022-05-02 12:48:00+05:30-2.0,250100.0,1.238973789293542,0.0,270.0,260.0,,222.0,,268.2,,0.019984170953700087,0.0207920792079217,-0.08819785132300155,0.0007917656787345545,-1.0,-2.0,-0.019984170953700087,-0.17525020057538643,0.08819785132300155,0.1979031942664028,19.0,-0.10914127423822709,-0.2417909129482506,-0.25962591762346754,-0.056640625,-0.1851502879482506,-0.056640625,-0.20298529262346754
2022-05-02 12:58:00+05:30,224,NIFTYWEEKLYOPTIONCall,280.28,278.05,275.4,277.1,1800.0,320850,CE,16800,2022-05-05,17013.05,17015.75,17012.1,,7.231769927851467,False,-2.0,0.0,2022-05-02 12:48:00+05:30-2.0,250100.0,1.238973789293542,9.0,270.0,260.0,,-277.1,,,,-0.011345797060082652,0.09742574257425862,0.0009995003330834232,0.10437785478691924,0.0,1.0,-0.0,-0.2430892351635051,0.0,0.09531660549130153,20.0,0.0,-0.2417909129482506,-0.25962591762346754,-0.056640625,-0.1851502879482506,-0.056640625,-0.20298529262346754
