date,i,symbol,Open,High,Low,Adj Close,Volume,OpenInterest,nifty,niftyHigh,niftyLow,option_type,strike,expiry
2023-05-30 09:17:26+05:30,14,NIFTY01JUN2318400CE,212.9,212.9,212.0,212.0,3900,2528100.0,18586.2,18588.05,18586.2,CE,18400,2023-06-01
2023-05-30 09:17:28+05:30,15,NIFTY01JUN2318400CE,212.7,212.7,212.6,212.6,150,2528100.0,18586.2,18587.1,18586.2,CE,18400,2023-06-01
2023-05-30 09:17:30+05:30,16,NIFTY01JUN2318400CE,212.6,212.6,211.5,211.5,5500,2528100.0,18587.15,18587.15,18585.95,CE,18400,2023-06-01
2023-05-30 09:17:32+05:30,17,NIFTY01JUN2318400CE,212.35,212.35,212.35,212.35,700,2528100.0,18586.8,18586.8,18586.8,CE,18400,2023-06-01
2023-05-30 09:17:34+05:30,18,NIFTY01JUN2318400CE,212.8,212.8,212.8,212.8,700,2528100.0,18587.3,18588.1,18587.3,CE,18400,2023-06-01
2023-05-30 09:17:36+05:30,19,NIFTY01JUN2318400CE,214.0,214.0,214.0,214.0,150,2528100.0,18587.9,18587.9,18587.9,CE,18400,2023-06-01
2023-05-30 09:17:38+05:30,20,NIFTY01JUN2318400CE,212.95,213.8,212.95,213.8,350,2528100.0,18590.4,18590.4,18588.9,CE,18400,2023-06-01
2023-05-30 09:17:40+05:30,21,NIFTY01JUN2318400CE,216.45,216.45,215.0,215.0,1850,2528100.0,18593.3,18593.3,18592.2,CE,18400,2023-06-01
2023-05-30 09:17:42+05:30,22,NIFTY01JUN2318400CE,214.25,214.25,214.0,214.0,1000,2528100.0,18593.45,18593.45,18593.2,CE,18400,2023-06-01
2023-05-30 09:17:44+05:30,23,NIFTY01JUN2318400CE,214.95,214.95,213.95,213.95,650,2528100.0,18594.9,18594.9,18593.5,CE,18400,2023-06-01
2023-05-30 09:17:46+05:30,24,NIFTY01JUN2318400CE,214.0,214.0,214.0,214.0,850,2528100.0,18595.6,18595.6,18595.6,CE,18400,2023-06-01
2023-05-30 09:17:48+05:30,25,NIFTY01JUN2318400CE,215.65,215.65,214.95,214.95,3300,2528100.0,18596.2,18596.2,18594.55,CE,18400,2023-06-01
2023-05-30 09:17:50+05:30,26,NIFTY01JUN2318400CE,215.85,216.7,215.85,216.7,1800,2528100.0,18597.0,18597.0,18596.45,CE,18400,2023-06-01
2023-05-30 09:17:52+05:30,27,NIFTY01JUN2318400CE,215.4,215.95,215.4,215.95,1200,2528100.0,18597.05,18597.05,18595.8,CE,18400,2023-06-01
2023-05-30 09:17:54+05:30,28,NIFTY01JUN2318400CE,215.15,215.35,215.15,215.35,1500,2528100.0,18597.85,18599.1,18597.85,CE,18400,2023-06-01
2023-05-30 09:17:56+05:30,29,NIFTY01JUN2318400CE,215.9,215.9,215.2,215.2,2300,2528100.0,18597.4,18597.95,18597.4,CE,18400,2023-06-01
2023-05-30 09:17:58+05:30,30,NIFTY01JUN2318400CE,215.2,217.15,215.2,217.15,5450,2528100.0,18597.9,18597.9,18597.65,CE,18400,2023-06-01
2023-05-30 09:18:00+05:30,31,NIFTY01JUN2318400CE,215.15,217.7,215.15,217.7,1250,2528100.0,18598.15,18598.8,18598.15,CE,18400,2023-06-01
2023-05-30 09:18:02+05:30,32,NIFTY01JUN2318400CE,218.8,220.15,218.8,220.15,4250,2528100.0,18599.6,18599.6,18597.5,CE,18400,2023-06-01
2023-05-30 09:18:04+05:30,33,NIFTY01JUN2318400CE,219.25,219.25,219.25,219.25,1600,2528100.0,18600.35,18600.35,18600.35,CE,18400,2023-06-01
2023-05-30 09:18:06+05:30,34,NIFTY01JUN2318400CE,219.8,221.15,219.8,221.15,5350,2528100.0,18600.65,18600.65,18600.6,CE,18400,2023-06-01
2023-05-30 09:18:08+05:30,35,NIFTY01JUN2318400CE,221.15,222.0,221.15,222.0,2900,2528100.0,18601.4,18601.75,18601.4,CE,18400,2023-06-01
2023-05-30 09:18:10+05:30,36,NIFTY01JUN2318400CE,224.15,224.15,224.15,224.15,550,2528100.0,18603.8,18603.8,18603.8,CE,18400,2023-06-01
2023-05-30 09:18:12+05:30,37,NIFTY01JUN2318400CE,223.95,225.5,223.95,225.5,7900,2528100.0,18606.15,18606.15,18605.25,CE,18400,2023-06-01
2023-05-30 09:18:14+05:30,38,NIFTY01JUN2318400CE,225.0,225.0,223.6,223.6,6000,2528100.0,18605.75,18605.75,18605.45,CE,18400,2023-06-01
2023-05-30 09:18:16+05:30,39,NIFTY01JUN2318400CE,222.95,225.35,222.95,225.35,4450,2528100.0,18604.9,18605.15,18604.9,CE,18400,2023-06-01
2023-05-30 09:18:18+05:30,40,NIFTY01JUN2318400CE,224.4,224.4,224.4,224.4,100,2528100.0,18604.7,18604.7,18604.7,CE,18400,2023-06-01
2023-05-30 09:18:20+05:30,41,NIFTY01JUN2318400CE,224.8,227.0,224.8,227.0,1750,2528100.0,18605.6,18605.6,18604.3,CE,18400,2023-06-01
2023-05-30 09:18:22+05:30,42,NIFTY01JUN2318400CE,226.2,228.55,226.2,228.55,2150,2528100.0,18606.75,18606.75,18606.1,CE,18400,2023-06-01
2023-05-30 09:18:24+05:30,43,NIFTY01JUN2318400CE,228.05,228.6,228.05,228.05,1350,2528100.0,18605.75,18606.6,18605.75,CE,18400,2023-06-01
2023-05-30 09:18:26+05:30,44,NIFTY01JUN2318400CE,227.9,228.85,227.9,228.85,1250,2528100.0,18607.05,18607.05,18606.95,CE,18400,2023-06-01
2023-05-30 09:18:28+05:30,45,NIFTY01JUN2318400CE,228.8,230.45,228.8,230.45,4050,2528100.0,18609.2,18609.2,18606.55,CE,18400,2023-06-01
2023-05-30 09:18:30+05:30,46,NIFTY01JUN2318400CE,230.7,231.55,229.35,229.35,5300,2528100.0,18609.8,18610.35,18609.8,CE,18400,2023-06-01
2023-05-30 09:18:32+05:30,47,NIFTY01JUN2318400CE,227.45,227.45,227.45,227.45,2300,2528100.0,18607.9,18607.9,18607.9,CE,18400,2023-06-01
2023-05-30 09:18:34+05:30,48,NIFTY01JUN2318400CE,228.95,228.95,228.7,228.7,4950,2528100.0,18609.1,18609.1,18608.75,CE,18400,2023-06-01
2023-05-30 09:18:36+05:30,49,NIFTY01JUN2318400CE,230.45,230.45,229.5,229.5,2900,2528100.0,18609.75,18609.75,18608.55,CE,18400,2023-06-01
2023-05-30 09:18:38+05:30,50,NIFTY01JUN2318400CE,228.4,229.75,228.4,229.75,1150,2528100.0,18609.25,18610.35,18609.25,CE,18400,2023-06-01
2023-05-30 09:18:40+05:30,51,NIFTY01JUN2318400CE,229.55,229.55,227.95,227.95,8750,2528100.0,18609.3,18609.3,18609.05,CE,18400,2023-06-01
2023-05-30 09:18:42+05:30,52,NIFTY01JUN2318400CE,227.9,228.3,227.9,228.3,750,2528100.0,18609.35,18609.35,18608.85,CE,18400,2023-06-01
2023-05-30 09:18:44+05:30,53,NIFTY01JUN2318400CE,227.9,228.35,227.9,228.35,1000,2528100.0,18608.6,18608.7,18608.6,CE,18400,2023-06-01
2023-05-30 09:18:46+05:30,54,NIFTY01JUN2318400CE,227.75,227.75,227.6,227.6,2500,2528100.0,18610.1,18610.55,18610.1,CE,18400,2023-06-01
2023-05-30 09:18:48+05:30,55,NIFTY01JUN2318400CE,228.1,228.1,228.1,228.1,350,2528100.0,18610.4,18610.4,18609.45,CE,18400,2023-06-01
2023-05-30 09:18:50+05:30,56,NIFTY01JUN2318400CE,229.3,231.5,229.3,231.5,6250,2528100.0,18608.8,18608.85,18608.8,CE,18400,2023-06-01
2023-05-30 09:18:52+05:30,57,NIFTY01JUN2318400CE,231.9,232.4,231.1,232.4,3450,2528100.0,18610.5,18610.5,18609.8,CE,18400,2023-06-01
2023-05-30 09:18:54+05:30,58,NIFTY01JUN2318400CE,230.7,233.25,230.7,233.25,3500,2528100.0,18609.7,18609.7,18609.65,CE,18400,2023-06-01
2023-05-30 09:18:56+05:30,59,NIFTY01JUN2318400CE,231.0,232.3,231.0,232.3,400,2528100.0,18610.85,18610.85,18610.4,CE,18400,2023-06-01
2023-05-30 09:18:58+05:30,60,NIFTY01JUN2318400CE,232.15,232.15,231.4,231.4,2000,2528100.0,18610.35,18611.0,18610.35,CE,18400,2023-06-01
2023-05-30 09:19:00+05:30,61,NIFTY01JUN2318400CE,231.75,231.8,231.75,231.8,3350,2528100.0,18611.1,18611.1,18609.25,CE,18400,2023-06-01
2023-05-30 09:19:02+05:30,62,NIFTY01JUN2318400CE,231.95,232.65,231.95,232.65,900,2528100.0,18611.25,18611.25,18610.9,CE,18400,2023-06-01
2023-05-30 09:19:04+05:30,63,NIFTY01JUN2318400CE,232.1,233.9,232.1,233.9,3050,2528100.0,18612.1,18612.25,18612.1,CE,18400,2023-06-01
2023-05-30 09:19:06+05:30,64,NIFTY01JUN2318400CE,232.85,232.85,232.65,232.65,1200,2528100.0,18611.55,18612.45,18611.55,CE,18400,2023-06-01
2023-05-30 09:19:08+05:30,65,NIFTY01JUN2318400CE,232.4,233.05,232.4,233.05,3200,2528100.0,18610.2,18610.35,18610.2,CE,18400,2023-06-01
2023-05-30 09:19:10+05:30,66,NIFTY01JUN2318400CE,233.05,233.05,232.5,232.5,200,2528100.0,18611.3,18611.3,18610.95,CE,18400,2023-06-01
2023-05-30 09:19:12+05:30,67,NIFTY01JUN2318400CE,233.1,233.1,232.65,232.65,2450,2528100.0,18611.8,18611.8,18611.45,CE,18400,2023-06-01
2023-05-30 09:19:14+05:30,68,NIFTY01JUN2318400CE,233.25,235.0,233.25,235.0,4900,2528100.0,18611.3,18611.65,18611.3,CE,18400,2023-06-01
2023-05-30 09:19:16+05:30,69,NIFTY01JUN2318400CE,233.05,234.0,233.05,234.0,2200,2528100.0,18611.3,18611.95,18611.3,CE,18400,2023-06-01
2023-05-30 09:19:18+05:30,70,NIFTY01JUN2318400CE,233.8,235.1,233.8,235.1,2100,2528100.0,18611.15,18611.15,18610.95,CE,18400,2023-06-01
2023-05-30 09:19:20+05:30,71,NIFTY01JUN2318400CE,234.4,234.4,233.45,233.45,1700,2528100.0,18610.15,18610.85,18610.15,CE,18400,2023-06-01
2023-05-30 09:19:22+05:30,72,NIFTY01JUN2318400CE,235.55,236.1,235.55,236.1,6450,2528100.0,18610.8,18610.8,18609.65,CE,18400,2023-06-01
2023-05-30 09:19:24+05:30,73,NIFTY01JUN2318400CE,233.3,233.45,233.3,233.45,2550,2528100.0,18609.65,18610.15,18609.65,CE,18400,2023-06-01
2023-05-30 09:19:26+05:30,74,NIFTY01JUN2318400CE,233.45,233.45,231.95,231.95,2000,2528100.0,18608.6,18609.5,18608.6,CE,18400,2023-06-01
2023-05-30 09:19:28+05:30,75,NIFTY01JUN2318400CE,232.0,232.0,231.5,231.5,2850,2528100.0,18606.95,18609.05,18606.95,CE,18400,2023-06-01
2023-05-30 09:19:30+05:30,76,NIFTY01JUN2318400CE,230.75,230.75,230.75,230.75,300,2528100.0,18607.1,18608.15,18607.1,CE,18400,2023-06-01
2023-05-30 09:19:32+05:30,77,NIFTY01JUN2318400CE,230.75,232.0,230.75,232.0,3800,2528100.0,18608.25,18608.25,18607.75,CE,18400,2023-06-01
2023-05-30 09:19:34+05:30,78,NIFTY01JUN2318400CE,232.15,233.75,232.15,233.75,1750,2528100.0,18607.9,18608.9,18607.9,CE,18400,2023-06-01
2023-05-30 09:19:36+05:30,79,NIFTY01JUN2318400CE,232.55,233.7,232.55,233.7,1950,2528100.0,18610.0,18610.0,18608.5,CE,18400,2023-06-01
2023-05-30 09:19:38+05:30,80,NIFTY01JUN2318400CE,233.7,233.7,232.5,232.5,3400,2528100.0,18610.3,18610.3,18609.75,CE,18400,2023-06-01
2023-05-30 09:19:40+05:30,81,NIFTY01JUN2318400CE,232.3,233.9,232.3,233.9,1100,2528100.0,18610.95,18610.95,18610.35,CE,18400,2023-06-01
2023-05-30 09:19:42+05:30,82,NIFTY01JUN2318400CE,233.45,233.45,232.9,232.9,400,2528100.0,18612.35,18612.35,18611.9,CE,18400,2023-06-01
2023-05-30 09:19:44+05:30,83,NIFTY01JUN2318400CE,233.35,233.35,233.35,233.35,500,2528100.0,18612.25,18612.25,18611.8,CE,18400,2023-06-01
2023-05-30 09:19:46+05:30,84,NIFTY01JUN2318400CE,234.25,234.25,234.2,234.2,4000,2528100.0,18613.3,18613.3,18612.95,CE,18400,2023-06-01
2023-05-30 09:19:48+05:30,85,NIFTY01JUN2318400CE,237.0,238.45,237.0,238.45,2900,2528100.0,18614.6,18614.6,18613.0,CE,18400,2023-06-01
2023-05-30 09:19:50+05:30,86,NIFTY01JUN2318400CE,238.2,239.4,236.75,236.75,2650,2528100.0,18615.4,18616.4,18615.4,CE,18400,2023-06-01
2023-05-30 09:19:52+05:30,87,NIFTY01JUN2318400CE,238.55,238.55,238.5,238.5,1500,2528100.0,18615.25,18615.7,18615.25,CE,18400,2023-06-01
2023-05-30 09:19:54+05:30,88,NIFTY01JUN2318400CE,238.35,238.55,238.35,238.55,600,2528100.0,18615.75,18615.75,18614.7,CE,18400,2023-06-01
2023-05-30 09:19:56+05:30,89,NIFTY01JUN2318400CE,238.2,240.0,238.2,240.0,1550,2528100.0,18617.2,18617.2,18615.65,CE,18400,2023-06-01
2023-05-30 09:19:58+05:30,90,NIFTY01JUN2318400CE,239.9,239.9,239.25,239.25,3100,2528100.0,18616.5,18616.5,18616.3,CE,18400,2023-06-01
2023-05-30 09:20:00+05:30,91,NIFTY01JUN2318400CE,239.9,240.1,239.45,239.45,4950,2528100.0,18616.6,18617.35,18616.6,CE,18400,2023-06-01
2023-05-30 09:20:02+05:30,92,NIFTY01JUN2318400CE,239.4,240.8,239.4,240.8,6350,2528100.0,18617.4,18617.4,18616.8,CE,18400,2023-06-01
2023-05-30 09:20:04+05:30,93,NIFTY01JUN2318400CE,239.75,240.9,239.75,240.9,900,2528100.0,18618.25,18618.25,18616.95,CE,18400,2023-06-01
2023-05-30 09:20:06+05:30,94,NIFTY01JUN2318400CE,240.2,241.2,240.2,240.7,2500,2528100.0,18620.05,18620.05,18618.8,CE,18400,2023-06-01
2023-05-30 09:20:08+05:30,95,NIFTY01JUN2318400CE,240.55,242.35,240.55,242.35,9850,2528100.0,18619.2,18620.1,18619.2,CE,18400,2023-06-01
2023-05-30 09:20:10+05:30,96,NIFTY01JUN2318400CE,244.75,244.95,244.35,244.95,4850,2528100.0,18621.55,18622.1,18621.55,CE,18400,2023-06-01
2023-05-30 09:20:12+05:30,97,NIFTY01JUN2318400CE,244.35,245.0,241.95,245.0,3500,2528100.0,18620.5,18621.4,18620.5,CE,18400,2023-06-01
2023-05-30 09:20:14+05:30,98,NIFTY01JUN2318400CE,238.8,239.0,238.8,239.0,8750,2528100.0,18616.8,18618.1,18616.8,CE,18400,2023-06-01
2023-05-30 09:20:16+05:30,99,NIFTY01JUN2318400CE,238.6,238.6,237.05,237.05,2150,2528100.0,18614.95,18615.75,18614.95,CE,18400,2023-06-01
