date,i,Open,High,Low,Adj Close,Volume,symbol,signal,ma_superTrend,ma_superTrend_pct_change,ma20,MA-FAST,ma20_pct_change,ma20_pct_change_ma,ma20_pct_change_ma_sq,std,upper_band,lower_band,super_upper_band,super_lower_band,ADX,ADX-PCT-CHNG,OBV,OBV-OSC,OBV-TREND,OBV-OSC-PCT-CHNG,bnh_returns,cum_bnh_returns,bnh_ln_returns,cum_bnh_ln_returns,position,position_change,strategy_returns,cum_strategy_returns,strategy_ln_returns,cum_strategy_ln_returns,trade_num
2023-03-27 09:15:00+05:30,1,8250.0,8257.95,8229.6,8251.1,4414,MARUTI,0.0,,,,,,,,,,,,,,,,,0,,,,,,,0.0,,,,,
2023-03-27 09:16:00+05:30,2,8247.5,8249.9,8231.05,8242.45,4991,MARUTI,,,,,,,,,,,,,,,,,,0,,-0.001048345069142198,-0.001048345069142198,-0.001048894967189727,-0.001048894967189727,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-27 09:17:00+05:30,3,8242.45,8247.95,8235.7,8240.0,2306,MARUTI,,,,,,,,,,,,,,,,,,0,,-0.0002972417181785758,-0.0013452751754311487,-0.00029728590325407077,-0.0013461808704437978,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-27 09:18:00+05:30,4,8240.0,8253.7,8240.0,8246.35,3864,MARUTI,,,,,,,,,,,,,,,,,,0,,0.0007706310679611583,-0.0005756808183151607,0.0007703342843037217,-0.000575846586140076,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-27 09:19:00+05:30,5,8244.65,8264.55,8242.5,8252.25,2525,MARUTI,,,,,,,,,,,,,,,,1090.7057067009312,,0,,0.0007154680555638837,0.0001393753560130495,0.0007152122303105427,0.00013936564417046666,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-27 09:20:00+05:30,6,8253.75,8263.0,8252.25,8261.95,1538,MARUTI,,,,,,,,,,,,,,,,1832.4847851392535,,0,,0.0011754370020298222,0.0013149761849935437,0.0011747467168285114,0.0013141123609989782,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-27 09:21:00+05:30,7,8261.95,8269.0,8259.8,8259.8,2279,MARUTI,,,,,8250.557142857144,,,,,,,,,,,1985.9677471683262,,0,,-0.00026022912266487896,0.0010544048672296302,-0.00026026298813833617,0.001053849372860642,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-27 09:22:00+05:30,8,8258.55,8279.0,8258.55,8278.8,3888,MARUTI,,,,,8254.514285714287,,,,,,,,,,,2673.674122803564,,0,,0.0023002978280346476,0.003357128140490273,0.002297656193241405,0.003351505566102047,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-27 09:23:00+05:30,9,8278.0,8279.0,8268.05,8269.95,1529,MARUTI,,,,,8258.442857142856,,,,,,,,,,,3001.9946405459536,,0,,-0.0010689955065950052,0.0022845438789980133,-0.0010695672898170165,0.0022819382762850303,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-27 09:24:00+05:30,10,8269.55,8276.7,8268.0,8275.5,2259,MARUTI,,,,8257.814999999999,8263.514285714286,,,,13.672316921427994,8285.159633842855,8230.470366157142,8291.995792303569,8223.634207696428,,,3542.337723400701,0.3632307405996516,1,,0.0006711044202201144,0.002957181466713532,0.0006708793303489366,0.002952817606633967,0.0,0.0,0.0,0.0,0.0,0.0,
