,date,i,symbol,open,high,low,close,Volume,Open Interest,option_type,strike,expiry,nifty,niftyHigh,niftyLow,signal,ATR,niftyATR
0,2019-12-31 09:17:00+05:30,73142,NIFTYWEEKLYOPTIONCall,243.0,243.0,238.55,238.55,825.0,239025.0,CE,12000,2020-01-02,,,,,,
1,2019-12-31 09:18:00+05:30,73143,NIFTYWEEKLYOPTIONCall,238.55,239.05,236.0,239.05,825.0,239025.0,CE,12000,2020-01-02,,,,,,
2,2019-12-31 09:19:00+05:30,73144,NIFTYWEEKLYOPTIONCall,239.05,239.15,237.8,237.8,675.0,239025.0,CE,12000,2020-01-02,,,,,,
3,2019-12-31 09:20:00+05:30,73145,NIFTYWEEKLYOPTIONCall,237.8,237.8,233.0,235.4,1575.0,238650.0,CE,12000,2020-01-02,,,,,,
4,2019-12-31 09:21:00+05:30,73146,NIFTYWEEKLYOPTIONCall,235.4,235.4,231.75,231.75,675.0,238650.0,CE,12000,2020-01-02,,,,,3.4603542638943643,
5,2019-12-31 09:22:00+05:30,73147,NIFTYWEEKLYOPTIONCall,231.75,233.4,231.75,232.5,1350.0,238650.0,CE,12000,2020-01-02,,,,,3.1510734011190658,
6,2019-12-31 09:23:00+05:30,73148,NIFTYWEEKLYOPTIONCall,232.5,240.0,232.5,240.0,1875.0,239625.0,CE,12000,2020-01-02,,,,,3.7910471564766923,
7,2019-12-31 09:24:00+05:30,73149,NIFTYWEEKLYOPTIONCall,240.0,241.0,234.0,234.0,5025.0,239625.0,CE,12000,2020-01-02,,,,,4.206273873578958,
8,2019-12-31 09:25:00+05:30,73150,NIFTYWEEKLYOPTIONCall,234.0,234.0,234.0,234.0,300.0,239625.0,CE,12000,2020-01-02,,,,,3.720093736700996,
9,2019-12-31 09:26:00+05:30,73151,NIFTYWEEKLYOPTIONCall,234.0,234.0,233.0,233.0,150.0,242475.0,CE,12000,2020-01-02,,,,,3.4357440880527523,
10,2019-12-31 09:27:00+05:30,73152,NIFTYWEEKLYOPTIONCall,232.0,232.0,232.0,232.0,150.0,242475.0,CE,12000,2020-01-02,,,,,3.1076336718214974,
11,2019-12-31 09:28:00+05:30,73153,NIFTYWEEKLYOPTIONCall,232.0,236.05,232.0,236.05,75.0,242475.0,CE,12000,2020-01-02,,,,,3.190532787415475,
12,2019-12-31 09:29:00+05:30,73154,NIFTYWEEKLYOPTIONCall,236.05,240.0,234.55,240.0,1050.0,242550.0,CE,12000,2020-01-02,,,,,3.374902671447065,
13,2019-12-31 09:30:00+05:30,73155,NIFTYWEEKLYOPTIONCall,240.0,240.0,236.4,237.8,2100.0,242550.0,CE,12000,2020-01-02,,,,,3.392041531155416,
14,2019-12-31 09:31:00+05:30,73156,NIFTYWEEKLYOPTIONCall,237.8,237.8,237.8,237.8,0.0,242550.0,CE,12000,2020-01-02,,,,,3.149816919500831,
15,2019-12-31 09:32:00+05:30,73157,NIFTYWEEKLYOPTIONCall,237.8,237.8,235.0,235.0,1350.0,243675.0,CE,12000,2020-01-02,,,,,3.126284078355672,
16,2019-12-31 09:33:00+05:30,73158,NIFTYWEEKLYOPTIONCall,235.0,235.0,235.0,235.0,0.0,243675.0,CE,12000,2020-01-02,,,,,2.927384143018407,
17,2019-12-31 09:34:00+05:30,73159,NIFTYWEEKLYOPTIONCall,235.0,235.0,230.0,230.0,375.0,243675.0,CE,12000,2020-01-02,,,,,3.0525250929778256,
18,2019-12-31 09:35:00+05:30,73160,NIFTYWEEKLYOPTIONCall,230.0,230.0,227.4,227.4,1200.0,243150.0,CE,12000,2020-01-02,,,,,3.0265153155753306,
19,2019-12-31 09:36:00+05:30,73161,NIFTYWEEKLYOPTIONCall,227.4,229.3,226.9,229.3,225.0,243150.0,CE,12000,2020-01-02,,,,,2.9921405200343805,
20,2019-12-31 09:37:00+05:30,73162,NIFTYWEEKLYOPTIONCall,229.3,232.0,229.3,231.0,4575.0,243150.0,CE,12000,2020-01-02,,,,,2.97680147891797,
21,2019-12-31 09:38:00+05:30,73163,NIFTYWEEKLYOPTIONCall,231.0,233.05,231.0,233.05,300.0,244875.0,CE,12000,2020-01-02,,,,,2.9301276477211227,
22,2019-12-31 09:39:00+05:30,73164,NIFTYWEEKLYOPTIONCall,233.05,233.05,230.0,231.7,450.0,244875.0,CE,12000,2020-01-02,,,,,2.9359296879594674,
23,2019-12-31 09:40:00+05:30,73165,NIFTYWEEKLYOPTIONCall,231.1,231.1,229.0,229.0,150.0,244875.0,CE,12000,2020-01-02,,,,,2.8969691800913857,
24,2019-12-31 09:41:00+05:30,73166,NIFTYWEEKLYOPTIONCall,229.0,229.0,225.75,225.75,525.0,244275.0,CE,12000,2020-01-02,,,,,2.912840450767013,
25,2019-12-31 09:42:00+05:30,73167,NIFTYWEEKLYOPTIONCall,225.75,226.0,225.0,225.0,1500.0,244275.0,CE,12000,2020-01-02,,,,,2.8297571204173266,
26,2019-12-31 09:43:00+05:30,73168,NIFTYWEEKLYOPTIONCall,225.0,227.1,225.0,226.95,1575.0,244275.0,CE,12000,2020-01-02,,,,,2.7990888760634465,
27,2019-12-31 09:44:00+05:30,73169,NIFTYWEEKLYOPTIONCall,226.95,227.55,222.1,222.3,3600.0,242025.0,CE,12000,2020-01-02,,,,,2.9070267213415995,
