,ticker,trading_days,days_in_trade,num_trades,num_winning_trades,num_losing_trades,win_pct,return,return per day in trade,annualized return,return_fixed_bet,average_return,std_dev_return
0,ADANIENT,19,19,123,39,30,0.3170731707317073,-0.029496489701543838,-0.0015524468263970442,-0.38811170659926103,-0.02136002176055518,-0.00017365871350044862,0.011676373145203253
0,ADANIPORTS,19,19,144,50,36,0.3472222222222222,0.03554451433480188,0.0018707639123579937,0.46769097808949844,0.036942405465107964,0.00025654448239658306,0.005291758475022604
0,APOLLOHOSP,19,19,156,63,36,0.40384615384615385,0.036686490608025535,0.0019308679267381861,0.4827169816845465,0.036538298652463275,0.00023421986315681585,0.0025486347006540688
0,ASIANPAINT,19,19,145,52,35,0.3586206896551724,0.035001062971765196,0.0018421612090402735,0.46054030226006837,0.03462422023154199,0.00023878772573477234,0.0017385796950853125
0,AXISBANK,19,19,153,63,34,0.4117647058823529,0.1091117248735487,0.005742722361765721,1.4356805904414303,0.10395706893471257,0.0006794579668935462,0.0021847117956169063
0,BAJAJ-AUTO,19,19,150,61,31,0.4066666666666667,0.029148905738760833,0.0015341529336189911,0.3835382334047478,0.02909812702746395,0.00019398751351642633,0.0022050426056602367
0,BAJFINANCE,19,19,152,55,35,0.3618421052631579,0.004334197599863643,0.00022811566315071805,0.05702891578767951,0.00467284350791175,3.074239149941941e-05,0.002144124437655573
0,BAJAJFINSV,19,19,139,55,31,0.39568345323741005,0.05684529526181925,0.002991857645358908,0.747964411339727,0.05573918986017112,0.00040100136590051166,0.0025227687088813524
0,BPCL,19,19,102,43,23,0.4215686274509804,0.12738343475454994,0.006704391302871049,1.6760978257177623,0.1205731107199911,0.0011820893207842265,0.0034567223489264634
0,BHARTIARTL,19,19,138,49,34,0.35507246376811596,0.03541520252992103,0.0018639580278905804,0.46598950697264513,0.03522067955399888,0.00025522231560868756,0.0024560545333906537
0,BRITANNIA,19,19,158,61,35,0.3860759493670886,0.013344733695725308,0.0007023544050381741,0.17558860125954354,0.013569038144179535,8.587998825430086e-05,0.0019917078851220747
0,CIPLA,19,19,142,49,37,0.34507042253521125,0.05676072027241097,0.002987406330126893,0.7468515825317232,0.05546391031333464,0.00039059091769953974,0.0018639162348490304
0,COALINDIA,19,19,82,37,14,0.45121951219512196,0.15976455452616367,0.00840866076453493,2.1021651911337327,0.14903707627537466,0.0018175253204313982,0.004117268226036878
0,DIVISLAB,19,19,143,51,37,0.35664335664335667,-0.01000782078950857,-0.0005267274099741353,-0.13168185249353384,-0.00949761488021672,-6.64168872742428e-05,0.0028001024113056107
0,DRREDDY,19,19,144,63,27,0.4375,0.02781931147040173,0.0014641742879158805,0.36604357197897014,0.02770002927243631,0.00019236131439191883,0.0018982634454332013
0,EICHERMOT,19,19,140,49,32,0.35,0.02241188100943181,0.0011795726847069375,0.29489317117673436,0.02273181799839985,0.00016237012855999894,0.0028488898953469926
0,GRASIM,19,19,144,60,38,0.4166666666666667,0.033145375793173004,0.0017444934627985791,0.43612336569964477,0.03307692461983436,0.00022970086541551638,0.0025486410467503782
0,HCLTECH,19,19,158,58,37,0.3670886075949367,0.04180459699501493,0.002200241947106049,0.5500604867765122,0.04125730893039692,0.0002611222084202337,0.0019460326866379805
0,HDFCBANK,19,19,157,65,32,0.4140127388535032,0.07941585041443155,0.004179781600759555,1.0449454001898888,0.07676034705738732,0.0004889194080088364,0.0020301967140261296
0,HDFCLIFE,19,19,136,60,27,0.4411764705882353,0.13440597805753485,0.007073998845133413,1.7684997112833531,0.12669065473888064,0.0009315489319035341,0.0027839307246554272
0,HEROMOTOCO,19,19,156,65,28,0.4166666666666667,0.03743269351619438,0.0019701417640102304,0.4925354410025576,0.03700189730439318,0.0002371916493871358,0.001789123173915348
0,HINDALCO,19,19,140,64,20,0.45714285714285713,0.2030247805688956,0.01068551476678398,2.671378691695995,0.18561006249353007,0.001325786160668072,0.003055079010588378
0,HINDUNILVR,19,19,163,61,35,0.37423312883435583,0.06008827054480603,0.0031625405549897912,0.7906351387474478,0.058585466354268534,0.0003594200389832425,0.0016583718072943289
0,HDFC,19,19,155,67,28,0.432258064516129,0.06797480633935216,0.0035776213862816924,0.8944053465704231,0.066035278385839,0.00042603405410218713,0.0018268377258862784
0,ICICIBANK,19,19,165,67,34,0.40606060606060607,0.10383824938696518,0.005465171020366588,1.366292755091647,0.09929288125948366,0.0006017750379362646,0.0023939826580944823
0,ITC,19,19,118,46,22,0.3898305084745763,0.13277065194523296,0.006987929049749104,1.746982262437276,0.12521844015324013,0.0010611732216376283,0.002882634987060256
0,INDUSINDBK,19,19,136,48,36,0.35294117647058826,-0.01927206173439744,-0.0010143190386524969,-0.25357975966312424,-0.018037500884809488,-0.00013262868297654034,0.004540349607839706
0,INFY,19,19,138,48,31,0.34782608695652173,0.0439582104119316,0.0023135900216806103,0.5783975054201526,0.04317676183918595,0.00031287508579120254,0.0014828098531155351
0,JSWSTEEL,19,19,155,77,23,0.4967741935483871,0.1634176073445408,0.008600926702344252,2.150231675586063,0.15188674369075839,0.0009799144754242476,0.0024186893769152108
0,KOTAKBANK,19,19,169,79,27,0.46745562130177515,0.16481631551286213,0.008674542921729585,2.1686357304323964,0.15297676817923345,0.0009051879773919139,0.002026626710774507
0,LT,19,19,144,55,33,0.3819444444444444,0.014222632146043912,0.0007485595866338901,0.18713989665847253,0.01449758010816038,0.00010067763964000264,0.0022855852089741797
0,M&M,19,19,154,54,35,0.35064935064935066,0.05303562786026461,0.002791348834750769,0.6978372086876922,0.05230736094548183,0.0003396581879576742,0.002850311064072911
